IndexName,date,nav
NIFTY SMALLCAP 250,18-Apr-24,19097.01
NIFTY SMALLCAP 250,19-Apr-24,19073.82
NIFTY SMALLCAP 250,22-Apr-24,19295.21
NIFTY SMALLCAP 250,23-Apr-24,19481.35
NIFTY SMALLCAP 250,24-Apr-24,19636.34
NIFTY SMALLCAP 250,25-Apr-24,19799.85
NIFTY SMALLCAP 250,26-Apr-24,19894.61
NIFTY SMALLCAP 250,29-Apr-24,19907.29
NIFTY SMALLCAP 250,30-Apr-24,19918.39
NIFTY SMALLCAP 250,02-May-24,19937.79
NIFTY SMALLCAP 250,03-May-24,19869.77
NIFTY SMALLCAP 250,06-May-24,19648.19
NIFTY SMALLCAP 250,07-May-24,19298.54
NIFTY SMALLCAP 250,08-May-24,19393.71
NIFTY SMALLCAP 250,09-May-24,18879.71
NIFTY SMALLCAP 250,10-May-24,19004.04
NIFTY SMALLCAP 250,13-May-24,18935.89
NIFTY SMALLCAP 250,14-May-24,19268.92
NIFTY SMALLCAP 250,15-May-24,19415.36
NIFTY SMALLCAP 250,16-May-24,19559.47
NIFTY SMALLCAP 250,17-May-24,19870.58
NIFTY SMALLCAP 250,18-May-24,20049.95
NIFTY SMALLCAP 250,21-May-24,19964.74
NIFTY SMALLCAP 250,22-May-24,19940.03
NIFTY SMALLCAP 250,23-May-24,19988.85
NIFTY SMALLCAP 250,24-May-24,19963.43
NIFTY SMALLCAP 250,27-May-24,20051.38
NIFTY SMALLCAP 250,28-May-24,19847.46
NIFTY SMALLCAP 250,29-May-24,19864
NIFTY SMALLCAP 250,30-May-24,19569.19
NIFTY SMALLCAP 250,31-May-24,19664.65
NIFTY SMALLCAP 250,03-Jun-24,20070.23
NIFTY SMALLCAP 250,04-Jun-24,18575.64
NIFTY SMALLCAP 250,05-Jun-24,19191.54
NIFTY SMALLCAP 250,06-Jun-24,19815.64
NIFTY SMALLCAP 250,07-Jun-24,20262.3
NIFTY SMALLCAP 250,10-Jun-24,20529.75
NIFTY SMALLCAP 250,11-Jun-24,20657.62
NIFTY SMALLCAP 250,12-Jun-24,20851.5
NIFTY SMALLCAP 250,13-Jun-24,21021.5
NIFTY SMALLCAP 250,14-Jun-24,21203.05
NIFTY SMALLCAP 250,18-Jun-24,21407.8
NIFTY SMALLCAP 250,19-Jun-24,21326.3
NIFTY SMALLCAP 250,20-Jun-24,21466.27
NIFTY SMALLCAP 250,21-Jun-24,21459.1
NIFTY SMALLCAP 250,24-Jun-24,21461.06
NIFTY SMALLCAP 250,25-Jun-24,21476.2
NIFTY SMALLCAP 250,26-Jun-24,21521.88
NIFTY SMALLCAP 250,27-Jun-24,21400.88
NIFTY SMALLCAP 250,28-Jun-24,21545.32
NIFTY SMALLCAP 250,01-Jul-24,21868.42
NIFTY SMALLCAP 250,02-Jul-24,21832.82
NIFTY SMALLCAP 250,03-Jul-24,22029.01
NIFTY SMALLCAP 250,04-Jul-24,22151.59
NIFTY SMALLCAP 250,05-Jul-24,22303.63
NIFTY SMALLCAP 250,08-Jul-24,22245.93
NIFTY SMALLCAP 250,09-Jul-24,22298.84
NIFTY SMALLCAP 250,10-Jul-24,22147.62
NIFTY SMALLCAP 250,11-Jul-24,22282.09
NIFTY SMALLCAP 250,12-Jul-24,22267.11
NIFTY SMALLCAP 250,15-Jul-24,22348.41
