"Date","Price","Open","High","Low","Vol.","Change %"
"20-03-2025","33,358.70","33,358.70","33,358.70","33,358.70","","0.99%"
"19-03-2025","33,033.14","33,033.14","33,033.14","33,033.14","","1.01%"
"18-03-2025","32,703.97","32,703.97","32,703.97","32,703.97","","1.82%"
"17-03-2025","32,119.96","32,119.96","32,119.96","32,119.96","","0.56%"
"13-03-2025","31,942.25","31,942.25","31,942.25","31,942.25","","-0.44%"
"12-03-2025","32,081.82","32,081.82","32,081.82","32,081.82","","-0.19%"
"11-03-2025","32,142.17","32,142.17","32,142.17","32,142.17","","-0.69%"
"07-03-2025","32,364.23","32,364.23","32,364.23","32,364.23","","-0.02%"
"06-03-2025","32,369.70","32,369.70","32,369.70","32,369.70","","0.94%"
"05-03-2025","32,068.00","32,068.00","32,068.00","32,068.00","","1.70%"
"04-03-2025","31,531.88","31,531.88","31,531.88","31,531.88","","0.11%"
"03-03-2025","31,498.76","31,498.76","31,498.76","31,498.76","","0.08%"
"28-02-2025","31,473.37","31,473.37","31,473.37","31,473.37","","-2.14%"
"27-02-2025","32,160.49","32,160.49","32,160.49","32,160.49","","-0.51%"
"25-02-2025","32,323.82","32,323.82","32,323.82","32,323.82","","-0.24%"
"24-02-2025","32,402.38","32,402.38","32,402.38","32,402.38","","-1.07%"
"21-02-2025","32,753.50","32,753.50","32,753.50","32,753.50","","-0.67%"
"20-02-2025","32,975.85","32,975.85","32,975.85","32,975.85","","0.48%"
"19-02-2025","32,817.74","32,817.74","32,817.74","32,817.74","","0.58%"
"18-02-2025","32,627.75","32,627.75","32,627.75","32,627.75","","-0.19%"
"17-02-2025","32,691.24","32,691.24","32,691.24","32,691.24","","0.10%"
"14-02-2025","32,659.90","32,659.90","32,659.90","32,659.90","","-1.29%"
"13-02-2025","33,086.76","33,086.76","33,086.76","33,086.76","","-0.01%"
"12-02-2025","33,091.14","33,091.14","33,091.14","33,091.14","","-0.17%"
"11-02-2025","33,146.32","33,146.32","33,146.32","33,146.32","","-1.97%"
"10-02-2025","33,812.23","33,812.23","33,812.23","33,812.23","","-1.27%"
"07-02-2025","34,246.84","34,246.84","34,246.84","34,246.84","","-0.10%"
"06-02-2025","34,279.63","34,279.63","34,279.63","34,279.63","","-0.51%"
"05-02-2025","34,453.97","34,453.97","34,453.97","34,453.97","","0.26%"
"04-02-2025","34,363.72","34,363.72","34,363.72","34,363.72","","1.52%"
"03-02-2025","33,849.51","33,849.51","33,849.51","33,849.51","","-0.83%"
"01-02-2025","34,132.24","34,132.24","34,132.24","34,132.24","","0.00%"
"31-01-2025","34,130.93","34,130.93","34,130.93","34,130.93","","1.35%"
"30-01-2025","33,676.11","33,676.11","33,676.11","33,676.11","","0.25%"
"29-01-2025","33,593.20","33,593.20","33,593.20","33,593.20","","1.54%"
"28-01-2025","33,084.22","33,084.22","33,084.22","33,084.22","","0.07%"
"27-01-2025","33,062.34","33,062.34","33,062.34","33,062.34","","-1.91%"
"24-01-2025","33,707.25","33,707.25","33,707.25","33,707.25","","-1.02%"
"23-01-2025","34,053.66","34,053.66","34,053.66","34,053.66","","0.66%"
"22-01-2025","33,829.92","33,829.92","33,829.92","33,829.92","","-0.17%"
"21-01-2025","33,887.69","33,887.69","33,887.69","33,887.69","","-1.72%"
"20-01-2025","34,481.71","34,481.71","34,481.71","34,481.71","","0.59%"
"17-01-2025","34,278.13","34,278.13","34,278.13","34,278.13","","-0.10%"
"16-01-2025","34,313.80","34,313.80","34,313.80","34,313.80","","0.76%"
"15-01-2025","34,055.47","34,055.47","34,055.47","34,055.47","","0.33%"
"14-01-2025","33,944.68","33,944.68","33,944.68","33,944.68","","1.12%"
"13-01-2025","33,569.22","33,569.22","33,569.22","33,569.22","","-2.55%"
